ADDRESS,BUILDING TYPE,DWELLING UNITS,YEAR BUILT,LOT AC,LOT SF,BUILDING SF,FAR,BASEMENT SF,GROUND FLOOR SF,HEIGHT
,VACANT,0,,0.0147,640,,0,,,
2044 SE 12TH AVE,CONDOMINIUM,1,1926,,,1747,0,562,594,
,VACANT,0,,0.0055,240,,0,,,
1926 SE HEMLOCK AVE,CONDOMINIUM,1,1956,,,1787,0,896,891,
2135 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1175,5120,2962,0.578515625,892,892,
2237 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2156,0.42109375,978,978,
1540 SE LADD AVE,DUPLEX,3,1910,0.1554,6771,7388,1.091123911,2108,2136,
2011 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,2624,0.5125,800,1224,
1928 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1322,5760,5398,0.937152778,1344,1383,
1844 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1927,0.1175,5120,2775,0.541992188,1080,1095,
,VACANT,0,,0.2296,10000,,0,,,
1726 SE MULBERRY AVE,DUPLEX,3,1912,0.1175,5120,3528,0.6890625,1176,1176,
1720 SE LADD AVE,SINGLE FAMILY RESIDENCE,2,1925,0.1175,5120,3232,0.63125,1316,1316,
1517 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1913,0.191,8320,4120,0.495192308,1160,1172,
1630 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1175,5120,3308,0.64609375,896,1092,
2305 SE 20TH AVE # A,SINGLE FAMILY RESIDENCE,1,1925,0.1079,4700,2610,0.555319149,806,1204,
1959 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1909,0.1354,5900,3511,0.595084746,1127,1127,
2104 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1923,0.124,5400,2200,0.407407407,672,1128,
